val_image,true_id,predicted_id,hamming_distance
S1001L01.png,S1001,S1001,16
S1001L10.png,S1001,S1001,0
S1001R08.png,S1001,unknown,41
S1001R10.png,S1001,unknown,26
S1002L06.png,S1002,S1002,9
S1002L04.png,S1002,S1002,23
S1002R07.png,S1002,S1002,0
S1002R01.png,S1002,S1002,0
S1003R04.png,S1003,S1003,22
S1003R07.png,S1003,unknown,26
S1004R01.png,S1004,unknown,32
S1004R05.png,S1004,unknown,26
S1005R01.png,S1005,S1005,0
S1005R07.png,S1005,S1005,0
S1006R06.png,S1006,S1006,0
S1006R04.png,S1006,S1006,0
S1007L06.png,S1007,S1007,17
S1007L04.png,S1007,S1007,0
S1007R07.png,S1007,S1007,0
S1007R03.png,S1007,S1007,21
S1008L07.png,S1008,S1008,9
S1008L01.png,S1008,S1008,0
S1008R06.png,S1008,S1008,0
S1008R07.png,S1008,S1008,0
S1009R04.png,S1009,S1009,0
S1009R03.png,S1009,S1009,21
S1010R01.png,S1010,S1010,0
S1011L08.png,S1011,S1011,0
S1011L02.png,S1011,S1011,20
S1011R01.png,S1011,S1011,24
S1011R06.png,S1011,S1011,0
S1012R04.png,S1012,unknown,28
S1012R03.png,S1012,S1012,0
S1013L04.png,S1013,S1013,10
S1013L06.png,S1013,S1013,0
S1014L06.png,S1014,S1014,0
S1014L04.png,S1014,S1014,0
S1015R03.png,S1015,S1015,0
S1016L01.png,S1016,S1016,0
S1017R05.png,S1017,S1017,16
S1017R02.png,S1017,unknown,34
S1018R03.png,S1018,S1018,0
S1019L11.png,S1019,S1019,0
S1019L06.png,S1019,S1019,8
S1019L14.png,S1019,S1019,12
S1019R19.png,S1019,S1019,11
S1019R17.png,S1019,S1019,13
S1019R15.png,S1019,S1019,0
S1019R26.png,S1019,S1019,10
S1019R14.png,S1019,S1019,0
S1019R05.png,S1019,S1019,0
S1020R05.png,S1020,S1020,0
S1021L06.png,S1021,S1021,0
S1021L02.png,S1021,unknown,27
S1021R01.png,S1021,unknown,34
S1022L01.png,S1022,S1022,15
S1023R02.png,S1023,S1023,0
S1024R01.png,S1024,S1024,0
S1025L03.png,S1025,S1025,0
S1026R01.png,S1026,S1026,0
S1027L04.png,S1027,S1027,0
S1028L05.png,S1028,S1028,8
S1028L09.png,S1028,S1028,13
S1028L12.png,S1028,S1028,22
S1028R10.png,S1028,S1028,21
S1028R03.png,S1028,S1028,0
S1029L03.png,S1029,S1029,8
S1029L02.png,S1029,S1029,0
S1029R03.png,S1029,S1029,0
S1029R01.png,S1029,S1029,0
S1030L05.png,S1030,S1030,22
S1030L08.png,S1030,S1030,20
S1030R10.png,S1030,S1030,12
S1030R09.png,S1030,S1030,13
S1031L02.png,S1031,unknown,36
S1032L03.png,S1032,S1032,0
S1033L03.png,S1033,S1033,0
S1034R01.png,S1034,unknown,28
S1035L04.png,S1035,S1035,0
S1036L01.png,S1036,S1036,23
S1036L02.png,S1036,S1036,7
S1036R03.png,S1036,S1036,0
S1036R01.png,S1036,unknown,33
S1037R02.png,S1037,S1037,0
S1038L03.png,S1038,S1038,0
S1039L01.png,S1039,S1039,0
S1040L02.png,S1040,S1040,0
S1041L02.png,S1041,S1041,0
S1042L09.png,S1042,S1042,0
S1042L07.png,S1042,S1042,7
S1042R04.png,S1042,S1042,0
S1042R01.png,S1042,S1042,0
S1043L03.png,S1043,S1043,13
S1043L06.png,S1043,S1043,15
S1043R09.png,S1043,S1043,25
S1043R04.png,S1043,S1043,0
S1044L01.png,S1044,S1044,0
S1044L06.png,S1044,unknown,34
S1045L09.png,S1045,S1045,0
S1045L10.png,S1045,S1045,0
S1045L02.png,S1045,S1045,7
S1045R09.png,S1045,S1045,0
S1045R06.png,S1045,S1045,0
S1046R04.png,S1046,S1046,0
S1047L04.png,S1047,unknown,30
S1047L03.png,S1047,unknown,27
S1048R04.png,S1048,S1048,0
S1048R03.png,S1048,S1048,19
S1049L01.png,S1049,unknown,30
S1050L05.png,S1050,S1050,0
S1051R05.png,S1051,S1051,0
S1052L01.png,S1052,S1052,23
S1053L12.png,S1053,S1053,0
S1053L08.png,S1053,S1053,10
S1053L01.png,S1053,S1053,0
S1053R03.png,S1053,S1053,0
S1053R04.png,S1053,unknown,26
S1054L03.png,S1054,unknown,31
S1055L03.png,S1055,S1055,0
S1056L03.png,S1056,unknown,26
S1057R03.png,S1057,S1057,24
S1058R03.png,S1058,S1058,0
S1059L05.png,S1059,S1059,13
S1060L07.png,S1060,S1060,14
S1060L08.png,S1060,S1060,0
S1060R03.png,S1060,S1060,21
S1060R06.png,S1060,S1060,0
S1061R02.png,S1061,S1061,22
S1062R05.png,S1062,S1062,0
S1063L05.png,S1063,S1063,0
S1063L06.png,S1063,unknown,26
S1063R06.png,S1063,S1063,0
S1063R05.png,S1063,S1063,24
S1064L06.png,S1064,S1064,23
S1064L01.png,S1064,S1064,0
S1064R04.png,S1064,unknown,27
S1064R03.png,S1064,S1064,16
S1065L06.png,S1065,S1065,21
S1065L02.png,S1065,S1065,17
S1065R03.png,S1065,S1065,0
S1065R01.png,S1065,S1065,0
S1066L04.png,S1066,S1066,0
S1066L03.png,S1066,S1066,0
S1066R04.png,S1066,S1066,0
S1066R07.png,S1066,S1066,23
S1067L02.png,S1067,S1067,0
S1067L05.png,S1067,S1067,0
S1067R07.png,S1067,S1067,0
S1067R02.png,S1067,S1067,0
S1068L01.png,S1068,S1068,24
S1068L03.png,S1068,S1068,0
S1068R02.png,S1068,S1068,0
S1068R04.png,S1068,unknown,32
S1069L07.png,S1069,S1069,19
S1069L06.png,S1069,S1069,0
S1069R01.png,S1069,S1069,0
S1069R02.png,S1069,S1069,0
S1070L02.png,S1070,S1070,24
S1070L05.png,S1070,S1070,25
S1070R04.png,S1070,S1070,0
S1070R02.png,S1070,S1070,0
S1071L07.png,S1071,S1071,0
S1071L04.png,S1071,S1071,0
S1071R05.png,S1071,S1071,18
S1071R06.png,S1071,S1071,22
S1072L04.png,S1072,S1072,0
S1072L05.png,S1072,S1072,0
S1072R01.png,S1072,S1072,17
S1072R03.png,S1072,S1072,0
S1073L03.png,S1073,S1073,0
S1073L04.png,S1073,S1073,20
S1073R06.png,S1073,unknown,26
S1073R07.png,S1073,S1073,25
S1074L01.png,S1074,unknown,33
S1074L06.png,S1074,S1074,0
S1074R01.png,S1074,S1074,0
S1074R02.png,S1074,unknown,35
S1075L06.png,S1075,S1075,0
S1075L03.png,S1075,S1075,25
S1075R06.png,S1075,S1075,0
S1075R01.png,S1075,S1075,0
S1076L04.png,S1076,unknown,36
S1076L02.png,S1076,unknown,30
S1076R03.png,S1076,S1076,21
S1076R01.png,S1076,S1076,0
S1077R03.png,S1077,S1077,0
S1077R04.png,S1077,S1077,17
S1078L06.png,S1078,S1078,0
S1078L01.png,S1078,S1078,0
S1078R06.png,S1078,S1078,0
S1078R02.png,S1078,S1078,23
S1079L07.png,S1079,unknown,31
S1079L03.png,S1079,S1079,0
S1079R06.png,S1079,unknown,33
S1079R02.png,S1079,unknown,31
S1080L04.png,S1080,S1080,20
S1080L03.png,S1080,S1080,0
S1080R04.png,S1080,S1080,0
S1081L03.png,S1081,S1081,15
S1081L09.png,S1081,S1081,0
S1081R10.png,S1081,S1081,0
S1081R05.png,S1081,S1081,0
S1082L07.png,S1082,S1082,15
S1082L02.png,S1082,S1082,0
S1082R07.png,S1082,S1082,0
S1082R01.png,S1082,S1082,0
S1083L04.png,S1083,unknown,27
S1083L05.png,S1083,unknown,36
S1083R06.png,S1083,unknown,30
S1083R01.png,S1083,S1083,0
S1084L06.png,S1084,S1084,0
S1084L07.png,S1084,S1084,21
S1084R04.png,S1084,unknown,26
S1084R07.png,S1084,S1084,0
S1085L02.png,S1085,unknown,26
S1085L07.png,S1085,S1085,0
S1085R04.png,S1085,S1085,19
S1085R06.png,S1085,S1085,23
S1086L06.png,S1086,S1086,19
S1086L01.png,S1086,S1086,19
S1086R05.png,S1086,S1086,19
S1086R06.png,S1086,S1086,0
S1087L06.png,S1087,S1087,0
S1087L07.png,S1087,S1087,0
S1087R01.png,S1087,S1087,0
S1087R05.png,S1087,unknown,31
S1088L01.png,S1088,unknown,33
S1088L07.png,S1088,S1088,20
S1088R03.png,S1088,S1088,0
S1088R06.png,S1088,unknown,27
S1089L01.png,S1089,S1089,0
S1089L03.png,S1089,S1089,0
S1089R02.png,S1089,S1089,0
S1089R01.png,S1089,S1089,19
S1090L01.png,S1090,S1090,20
S1090L06.png,S1090,S1090,0
S1090R05.png,S1090,S1090,18
S1090R07.png,S1090,S1090,0
S1091L03.png,S1091,unknown,26
S1091R06.png,S1091,unknown,31
S1091R01.png,S1091,S1091,0
S1092L03.png,S1092,S1092,0
S1092L09.png,S1092,S1092,3
S1092R07.png,S1092,S1092,24
S1092R06.png,S1092,S1092,22
S1093L05.png,S1093,S1093,0
S1093L02.png,S1093,S1093,0
S1093R05.png,S1093,S1093,0
S1093R10.png,S1093,unknown,26
S1094L01.png,S1094,S1094,22
S1094L02.png,S1094,S1094,23
S1094R02.png,S1094,S1094,0
S1094R06.png,S1094,S1094,15
S1095L05.png,S1095,S1095,0
S1095L04.png,S1095,S1095,0
S1095R02.png,S1095,S1095,0
S1095R04.png,S1095,S1095,0
S1096L01.png,S1096,S1096,0
S1096L02.png,S1096,S1096,0
S1096R02.png,S1096,S1096,12
S1096R06.png,S1096,S1096,0
S1097L06.png,S1097,S1097,21
S1097L05.png,S1097,S1097,20
S1097R06.png,S1097,S1097,23
S1097R05.png,S1097,unknown,29
S1098L07.png,S1098,S1098,22
S1098L01.png,S1098,S1098,0
S1098R06.png,S1098,S1098,0
S1098R04.png,S1098,S1098,0
S1099L02.png,S1099,unknown,35
S1099R01.png,S1099,S1099,0
S1099R04.png,S1099,S1099,0
S1100L04.png,S1100,unknown,30
S1100L05.png,S1100,S1100,0
S1100R06.png,S1100,S1100,0
S1100R02.png,S1100,S1100,19
S1101L02.png,S1101,S1101,24
S1101L01.png,S1101,S1101,0
S1101R07.png,S1101,S1101,21
S1101R01.png,S1101,S1101,24
S1102L01.png,S1102,S1102,0
S1102L02.png,S1102,S1102,15
S1102R07.png,S1102,S1102,0
S1102R01.png,S1102,S1102,24
S1103L01.png,S1103,S1103,0
S1103L07.png,S1103,S1103,16
S1103R04.png,S1103,unknown,43
S1103R03.png,S1103,S1103,0
S1104L06.png,S1104,S1104,17
S1104L04.png,S1104,S1104,10
S1104R02.png,S1104,S1104,15
S1104R03.png,S1104,S1104,0
S1105L02.png,S1105,S1105,0
S1105L05.png,S1105,S1105,13
S1105R06.png,S1105,S1105,0
S1105R04.png,S1105,S1105,0
S1106L07.png,S1106,S1106,24
S1106L01.png,S1106,S1106,0
S1106R04.png,S1106,S1106,0
S1106R05.png,S1106,S1106,0
S1107L05.png,S1107,S1107,0
S1107L07.png,S1107,S1107,0
S1107R03.png,S1107,S1107,0
S1107R07.png,S1107,S1107,20
S1108L06.png,S1108,unknown,29
S1108L03.png,S1108,S1108,0
S1108R03.png,S1108,S1108,0
S1108R06.png,S1108,S1108,0
S1109L05.png,S1109,S1109,0
S1109L06.png,S1109,S1109,0
S1109R06.png,S1109,S1109,0
S1109R02.png,S1109,S1109,0
S1110L03.png,S1110,S1110,0
S1110L01.png,S1110,S1110,0
S1110R04.png,S1110,unknown,26
S1110R02.png,S1110,S1110,0
S1111L07.png,S1111,S1111,20
S1111L04.png,S1111,S1111,22
S1111R01.png,S1111,S1111,10
S1111R06.png,S1111,S1111,5
S1112L03.png,S1112,S1112,0
S1112L06.png,S1112,S1112,0
S1112R03.png,S1112,S1112,19
S1112R06.png,S1112,unknown,27
S1113L01.png,S1113,S1113,0
S1113L03.png,S1113,S1113,0
S1113R03.png,S1113,S1113,22
S1113R04.png,S1113,S1113,20
S1114L03.png,S1114,S1114,0
S1114L04.png,S1114,S1114,15
S1114R02.png,S1114,S1114,16
S1114R03.png,S1114,S1114,24
S1115L10.png,S1115,S1115,0
S1115L04.png,S1115,unknown,41
S1115R02.png,S1115,S1115,13
S1115R07.png,S1115,S1115,24
S1116L02.png,S1116,S1116,24
S1116L05.png,S1116,S1116,0
S1116R01.png,S1116,unknown,28
S1116R03.png,S1116,S1116,0
S1117L07.png,S1117,S1117,22
S1117L06.png,S1117,S1117,0
S1117R01.png,S1117,unknown,27
S1117R04.png,S1117,unknown,27
S1118L07.png,S1118,S1118,0
S1118L04.png,S1118,S1118,0
S1118R05.png,S1118,unknown,27
S1118R02.png,S1118,S1118,0
S1119L03.png,S1119,S1119,0
S1119L06.png,S1119,S1119,20
